timestamps,TP9,AF7,AF8,TP10,Right AUX
1706612752.298,-45.410,-124.512,-60.059,-65.430,-125.488
1706612752.302,-38.086,-133.789,-56.152,-62.012,-60.547
1706612752.306,-46.875,-147.461,-55.664,-61.035,122.559
1706612752.310,-57.129,-145.508,-60.059,-69.824,10.742
1706612752.314,-53.711,-145.020,-57.129,-77.637,-76.172
1706612752.318,-51.270,-133.301,-52.734,-62.012,-22.461
1706612752.322,-37.598,-142.578,-59.082,-58.594,106.934
1706612752.325,-26.855,-169.922,-63.965,-60.059,360.352
1706612752.329,-52.246,-113.770,-57.129,-65.430,153.320
1706612752.333,-53.711,-99.121,-55.176,-79.102,-92.285
1706612752.337,-36.621,-142.578,-62.988,-81.055,27.832
1706612752.341,-22.949,-141.113,-60.547,-72.754,-62.500
1706612752.344,-26.855,-126.953,-54.199,-68.359,-178.711
1706612752.348,-45.898,-128.906,-53.711,-71.777,-104.004
1706612752.352,-64.941,-142.578,-50.781,-64.941,8.301
1706612752.356,-61.035,-137.207,-49.316,-54.688,-6.836
1706612752.360,-39.062,-135.742,-54.199,-57.617,-13.184
1706612752.364,-42.969,-145.020,-56.152,-63.477,125.488
1706612752.368,-38.086,-180.176,-60.059,-60.547,341.309
1706612752.371,-30.762,-145.020,-56.152,-64.941,309.570
1706612752.375,-44.922,-98.633,-48.828,-77.148,55.664
1706612752.379,-54.688,-128.418,-53.711,-69.824,18.066
1706612752.383,-51.758,-130.371,-56.641,-62.012,-17.090
1706612752.387,-40.039,-113.770,-51.758,-63.965,-97.656
1706612752.386,-35.645,-115.234,-48.828,-64.941,-60.547
1706612752.390,-31.738,-122.559,-44.922,-44.922,-23.438
1706612752.394,-16.602,-111.816,-37.109,-31.738,-15.625
1706612752.398,-1.953,-119.629,-41.016,-51.758,-1.465
1706612752.402,12.207,-122.070,-48.340,-52.734,27.344
1706612752.406,-2.930,-127.930,-40.039,-37.109,117.676
1706612752.410,-51.270,-163.086,-36.621,-40.527,425.781
1706612752.413,-66.895,-121.094,-32.715,-61.523,319.336
1706612752.417,-52.246,-100.098,-28.809,-63.965,17.090
1706612752.421,-43.457,-137.207,-33.691,-62.500,101.074
1706612752.425,-45.898,-132.812,-40.039,-77.637,53.223
1706612752.429,-56.152,-117.188,-38.574,-76.660,-79.102
1706612752.434,-52.734,-127.441,-35.156,-62.500,-40.527
1706612752.438,-18.066,-137.695,-41.992,-62.012,38.086
1706612752.442,-23.926,-128.906,-42.480,-73.730,-32.227
1706612752.446,-53.711,-121.582,-39.062,-76.660,-78.613
1706612752.450,-73.730,-135.742,-45.898,-69.336,-103.027
1706612752.454,-75.684,-160.156,-58.594,-71.777,100.098
1706612752.458,-48.828,-146.973,-58.594,-86.426,165.039
1706612752.461,-38.086,-122.559,-55.176,-90.332,-59.570
1706612752.465,-50.293,-135.742,-56.152,-95.703,-14.160
1706612752.469,-60.059,-182.129,-62.012,-86.426,291.992
1706612752.473,-70.801,-132.812,-60.059,-85.938,187.500
1706612752.477,-56.152,-104.492,-59.570,-90.820,-14.648
1706612752.492,-36.621,-131.836,-63.477,-94.727,-7.812
1706612752.496,-53.711,-127.441,-62.988,-112.305,25.391
1706612752.500,-74.219,-121.582,-63.965,-101.562,0.000
1706612752.504,-82.520,-129.395,-61.035,-82.520,34.180
1706612752.508,-75.684,-157.715,-62.988,-86.914,204.590
1706612752.512,-62.988,-159.668,-66.895,-89.844,304.199
1706612752.516,-59.082,-125.000,-60.059,-89.355,75.684
1706612752.519,-57.617,-110.352,-59.082,-97.168,-79.102
1706612752.523,-80.078,-150.879,-62.988,-102.539,20.508
